YEAR,D,CREW,LOA,DRAFT,BMAX,DSPL,MAIN,GENOA,SYM,ASYM,GPH
1989,R,850,"15,185","3,167",4.59,11643.,81.8,67.8,143.6,0.0,549.2
1996,C,525,"9,530","1,986",3.11,2641.,34.5,20.8,58.4,0.0,628.3
2000,C,830,"12,500","2,082",4.15,7040.,59.2,44.9,0.0,170.6,563.6
1997,C,900,"11,924","2,418",3.77,7162.,48.7,38.6,114.6,112.4,593.7
2001,R,1020,"15,490","3,105",4.11,9517.,103.2,69.0,166.7,0.0,495.7
2006,R,920,"13,830","2,687",3.17,7411.,80.2,49.6,136.7,0.0,522.5
2015,C,560,"9,500","2,042",3.24,3439.,32.6,24.9,83.8,0.0,627.8
2009,C,700,"10,660","2,202",3.64,5631.,41.1,32.4,101.9,82.1,620.2
2006,C,584,"9,215","1,819",3.22,4136.,31.0,24.2,67.3,0.0,665.4
2005,C,780,"12,700","2,598",3.85,7504.,55.7,44.1,120.3,0.0,574.8
2008,C,1016,"14,100","2,606",4.25,11975.,66.2,53.9,165.0,0.0,560.8
1997,C,740,"11,924","2,443",3.77,7703.,48.3,50.1,102.8,0.0,596.2
2008,R,850,"12,300","2,614",3.80,4440.,64.3,41.1,0.0,171.2,516.0
2006,C,520,"9,238","1,816",3.22,4128.,28.7,21.0,65.5,0.0,676.8
1996,C,615,"9,550","2,013",3.07,2782.,33.9,20.6,60.1,0.0,623.3
1997,C,700,"11,924","2,440",3.77,7642.,48.5,52.2,102.7,0.0,596.3
2012,C,575,"10,970","2,194",3.62,6246.,40.8,32.8,0.0,120.6,617.4
2011,R,585,"9,222","2,023",3.03,1993.,33.7,22.9,0.0,99.9,559.0
2006,C,1117,"14,990","2,809",4.36,13965.,72.0,70.5,183.8,0.0,548.6
2002,C,950,"13,730","2,564",4.15,9676.,64.1,50.4,146.3,0.0,561.0
2008,R,810,"12,300","2,614",3.80,4443.,64.0,43.1,0.0,174.0,510.4
2008,C,860,"12,240","2,497",3.90,8150.,51.4,41.5,136.4,101.7,584.1
2008,R,780,"12,300","2,917",3.80,4344.,64.1,43.0,0.0,186.5,507.5
2006,C,515,"9,238","1,789",3.22,3721.,28.7,25.0,68.2,0.0,664.1
2006,C,720,"10,730","2,247",3.39,6677.,40.3,33.0,92.0,0.0,631.4
2009,R,620,"9,950","2,452",3.27,3065.,39.8,26.1,0.0,118.9,588.5
1998,S,340,"7,805","1,726",2.58,1257.,21.1,16.6,34.7,0.0,676.4
2008,R,830,"12,300","2,598",3.80,4243.,64.4,41.7,0.0,186.9,510.1
2000,R,800,"14,400","3,122",3.84,7363.,77.2,42.8,0.0,215.7,509.6
2012,C,1170,"15,100","2,291",4.80,14438.,59.8,59.2,0.0,202.2,580.3
2006,R,640,"11,310","2,716",3.44,3019.,63.9,26.8,0.0,149.3,515.5
1997,C,740,"11,924","2,447",3.77,7809.,48.8,48.2,102.1,0.0,597.6
1997,C,740,"11,924","2,435",3.77,7528.,48.3,50.4,103.0,0.0,595.6
1986,C,680,"12,310","2,210",3.80,6934.,41.5,56.2,113.4,0.0,598.7
2001,C,925,"13,829","2,834",3.89,9852.,78.3,54.1,150.0,148.6,535.7
2006,C,710,"12,350","2,510",3.65,7140.,53.1,44.3,125.4,0.0,573.7
1985,R,700,"13,042","2,423",4.11,6794.,42.4,63.2,132.6,0.0,601.2
1986,C,725,"14,012","1,527",3.98,10054.,46.3,67.3,143.3,116.9,609.4
2004,R,709,"12,668","2,432",3.10,5831.,58.7,40.0,109.3,0.0,558.9
1988,C,586,"10,910","1,881",3.24,4225.,40.7,33.3,67.9,0.0,628.3
1986,C,690,"12,310","2,199",3.80,6688.,41.3,52.8,113.4,0.0,606.8
2006,C,845,"12,960","2,752",3.91,7869.,61.5,48.3,0.0,185.6,541.2
1990,C,877,"13,720","2,232",4.24,11907.,55.0,53.5,114.1,113.8,599.6
2014,C,570,"10,300","1,896",3.54,4498.,37.4,32.3,85.7,0.0,623.9
2011,C,780,"11,462","2,357",3.58,6878.,45.1,41.5,100.6,0.0,607.0
2002,C,769,"12,235","2,506",3.49,7140.,56.5,37.8,106.3,104.3,585.8
2004,C,900,"13,840","2,833",3.50,8031.,76.6,47.7,137.9,110.8,533.6
2001,C,910,"13,829","2,846",3.89,10172.,79.0,56.1,152.2,152.7,535.9
1982,C,650,"10,790","2,082",3.65,4989.,32.3,47.1,92.3,0.0,621.8
1993,R,525,"10,910","2,241",3.59,3668.,38.3,36.9,77.1,0.0,589.1
2006,C,860,"12,960","2,742",3.91,7637.,61.3,49.1,0.0,181.4,539.8
1996,R,908,"14,470","2,966",4.21,7385.,81.3,51.4,0.0,224.1,502.8
1986,C,725,"14,012","1,546",3.98,10502.,47.6,69.5,144.8,127.3,607.7
1998,R,757,"12,470","2,677",3.73,5542.,57.3,42.5,98.6,0.0,554.6
1989,C,600,"12,326","1,963",3.70,7681.,44.7,48.4,102.6,101.3,619.3
1998,R,757,"12,470","2,720",3.73,5441.,58.3,48.8,100.4,0.0,550.0
2005,R,670,"11,860","2,353",3.00,5530.,52.6,36.0,109.7,0.0,577.5
1992,S,375,"7,509","1,522",2.49,821.,22.3,12.1,0.0,56.2,624.9
2002,,820,"11,750","2,223",4.12,9355.,43.1,42.4,104.7,0.0,622.4
2004,C,712,"10,840","2,014",3.28,5992.,39.1,41.6,103.2,0.0,608.9
1981,S,407,"7,780","1,445",2.49,1975.,19.6,14.7,47.7,0.0,722.9
1992,R,865,"12,980","2,901",4.04,3300.,72.0,54.0,0.0,166.7,456.4
2008,C,950,"13,580","2,299",4.36,12766.,62.0,49.8,159.0,119.7,581.2
2000,C,643,"9,900","2,241",3.37,3624.,34.2,29.8,0.0,125.2,593.8
1999,C,617,"10,025","1,924",3.43,5133.,32.6,27.1,73.4,0.0,677.3
2005,C,840,"12,259","2,131",3.88,8265.,48.9,34.7,130.8,0.0,595.7
1992,C,516,"9,140","1,831",3.04,2824.,29.4,29.0,91.2,0.0,628.4
2005,R,629,"9,680","2,163",2.94,1722.,42.6,23.6,0.0,125.5,534.6
2005,C,669,"10,600","2,181",3.25,4641.,41.6,32.4,90.6,0.0,606.5
1997,C,756,"11,924","2,437",3.77,7591.,46.5,48.5,137.8,91.1,589.0
2003,R,1290,"15,840","3,191",4.22,7458.,99.6,63.2,0.0,254.7,454.3
2005,C,855,"12,259","2,157",3.88,8856.,50.6,42.3,133.0,0.0,592.5
2008,C,783,"11,347","2,322",3.63,7705.,43.0,35.8,105.1,0.0,615.3
2011,C,700,"11,580","2,409",3.67,7219.,50.0,38.8,0.0,129.8,587.8
2012,C,864,"12,800","1,993",3.97,10063.,48.1,33.7,113.9,0.0,631.2
2005,C,720,"10,600","2,173",3.25,4491.,41.3,31.8,88.6,0.0,605.4
1981,S,375,"7,780","1,432",2.49,1849.,19.0,15.1,42.5,0.0,726.0
2007,C,775,"12,700","2,592",3.70,6657.,58.5,47.7,0.0,177.4,541.6
2014,C,681,"10,891","1,904",3.66,7000.,41.8,27.0,0.0,0.0,705.3
2005,C,765,"16,480","2,430",4.73,21465.,78.2,69.5,0.0,213.1,560.5
2012,,1105,"14,020","3,276",4.37,5843.,80.3,47.5,0.0,227.2,467.1
2007,C,650,"10,675","1,934",3.58,6006.,31.8,35.3,92.3,87.2,650.3
1970,C,940,"16,800","2,522",4.32,21111.,58.1,72.9,170.1,0.0,602.3
2013,C,650,"13,500","2,206",4.48,10549.,48.1,48.0,0.0,149.1,594.7
2011,R,900,"13,328","3,126",4.18,6554.,68.3,54.9,0.0,205.0,501.6
2005,C,650,"10,600","2,184",3.25,4650.,39.5,31.2,91.8,0.0,607.0
2005,C,750,"12,990","1,890",4.20,10902.,48.7,50.4,0.0,0.0,683.2
1998,C,1475,"17,197","2,921",4.73,20780.,79.7,100.5,207.8,206.1,537.4
2003,C,640,"12,903","2,185",3.95,8600.,53.2,42.7,127.0,0.0,587.9
2011,R,802,"12,150","2,609",4.20,4944.,57.2,39.8,0.0,181.4,515.9
1972,C,900,"19,680","2,938",4.95,33115.,64.6,106.3,239.7,235.6,564.0
2003,C,450,"11,990","2,385",3.76,6168.,46.2,34.3,106.4,109.4,569.1
2003,C,950,"13,720","2,391",4.21,11466.,59.0,51.5,0.0,162.1,576.1
2001,C,607,"10,025","1,897",3.43,4700.,28.9,22.2,72.5,59.6,667.7
1995,S,350,"8,032","1,501",2.49,1438.,21.5,14.0,0.0,65.0,661.5
1994,C,320,"9,120","1,732",3.00,3700.,27.6,22.6,56.0,55.5,686.6
2008,C,1529,"19,000","2,989",5.21,26300.,124.7,99.1,0.0,336.5,490.5
1995,C,500,"9,913","1,855",3.28,4851.,33.2,28.7,75.3,67.6,654.9
2008,C,640,"9,934","2,121",3.27,4689.,34.8,27.3,82.2,65.9,637.6
1991,C,640,"10,630","1,998",3.49,4158.,41.6,28.4,76.9,0.0,615.8
2005,C,765,"10,600","2,184",3.25,4713.,39.5,33.0,92.2,72.1,609.1
1985,C,440,"7,620","1,599",2.69,1627.,21.1,13.9,35.8,28.8,712.1
1995,S,358,"8,140","1,697",2.73,1571.,24.2,15.3,39.3,0.0,658.0
1998,S,440,"8,300","1,721",2.66,1823.,26.1,17.8,0.0,55.9,653.6
2005,C,700,"10,600","2,180",3.25,4615.,39.1,33.1,96.3,72.1,608.1
1999,S,380,"7,000","1,558",2.48,1418.,19.0,11.3,38.5,0.0,729.7
2005,C,758,"10,600","2,178",3.25,4589.,39.5,33.0,92.2,72.5,607.4
1986,C,555,"10,400","2,002",3.49,6418.,28.7,42.3,92.7,0.0,663.6
1999,C,880,"11,970","1,970",3.79,8144.,50.4,45.9,110.9,0.0,601.7
2010,C,520,"9,515","1,934",3.21,4048.,28.7,28.3,82.3,72.2,649.4
2007,C,420,"9,800","1,924",3.49,3913.,31.4,26.1,81.3,72.2,642.9
2005,C,656,"10,600","1,995",3.25,4551.,41.4,33.0,99.6,80.1,610.9
2005,C,670,"10,600","2,179",3.25,4602.,38.0,32.2,90.4,72.1,611.3
1982,S,415,"7,790","1,841",2.50,1547.,21.6,13.7,43.4,0.0,683.9
1983,R,300,"6,450","1,470",2.48,1150.,14.8,9.9,27.3,0.0,784.7
1986,R,300,"6,426","1,448",2.48,987.,15.4,12.5,29.3,0.0,756.6
1990,C,488,"10,180","1,828",3.41,3616.,36.1,29.1,60.0,0.0,639.9
2018,C,322,"7,646","1,497",2.76,1359.,18.8,15.6,36.4,0.0,717.6
2008,C,604,"9,550","1,795",3.30,5391.,28.9,25.9,84.6,65.4,681.6
1991,C,634,"11,350","2,114",3.61,6390.,32.9,34.9,95.9,0.0,667.5
2011,C,790,"13,304","2,684",4.05,9360.,66.2,49.8,0.0,182.4,547.3
1978,C,380,"7,650","1,551",2.76,1800.,19.8,16.3,36.3,0.0,728.2
2013,C,390,"8,600","1,393",2.94,2882.,26.4,23.7,66.7,65.6,681.3
1999,C,617,"9,890","1,400",3.31,5112.,34.0,25.5,88.7,0.0,679.4
1978,S,338,"7,650","1,495",2.76,1323.,19.2,16.2,30.3,0.0,719.4
1991,R,400,"7,639","1,525",2.89,1194.,26.3,16.0,37.6,0.0,674.4
2011,C,591,"9,600","1,960",3.24,3109.,35.6,27.6,74.6,0.0,619.8
1987,C,886,"14,165","1,984",4.11,16070.,25.4,47.4,96.8,0.0,723.4
2009,R,765,"12,700","2,402",3.11,6037.,63.7,40.6,107.2,88.4,551.1
2006,R,731,"12,800","2,463",3.12,6147.,61.9,41.5,120.7,91.2,558.0
1980,C,516,"10,035","1,907",3.43,3899.,37.9,29.1,66.5,0.0,643.0
2005,R,850,"13,800","2,823",3.08,7254.,78.2,49.2,133.7,107.7,525.0
2009,C,670,"11,880","1,971",4.01,7869.,37.6,48.6,106.8,0.0,636.5
2014,R,1010,"14,834","3,071",3.93,7955.,92.8,64.4,0.0,258.3,479.3
1984,C,540,"10,882","1,878",3.24,4065.,34.9,22.5,63.7,0.0,645.6
2002,C,880,"13,350","2,243",4.25,10631.,54.4,63.6,137.5,0.0,577.3
2004,C,550,"10,380","1,333",3.51,5483.,29.9,34.7,88.7,0.0,672.3
1998,C,916,"14,270","3,043",4.06,8143.,63.0,73.2,0.0,204.1,519.2
2014,C,1108,"15,990","2,200",4.96,16880.,67.9,65.3,0.0,204.6,543.6
2007,C,912,"13,665","2,412",4.20,11773.,59.5,53.4,0.0,167.1,577.4
2012,C,1110,"15,100","2,341",4.80,16369.,62.1,55.3,166.8,130.4,596.0
2003,C,180,"13,720","2,705",4.21,9300.,59.3,52.0,0.0,154.2,566.3
2013,C,800,"12,320","2,510",4.00,9602.,54.5,44.0,0.0,178.1,582.2
1998,C,781,"11,550","2,090",3.88,7647.,44.1,39.4,0.0,114.7,609.1
1996,R,800,"13,801","2,895",4.19,7142.,68.7,51.2,0.0,183.8,520.8
1999,C,800,"11,625","2,307",3.88,6364.,45.0,37.8,106.5,88.2,597.4
2006,C,800,"12,190","2,227",3.64,7163.,50.5,42.7,0.0,154.0,574.7
2010,C,925,"13,305","2,410",4.05,9431.,64.2,50.3,143.4,140.3,558.4
2006,C,730,"12,350","2,504",3.65,7003.,53.2,47.2,134.2,0.0,570.1
2012,C,800,"12,900","2,422",3.98,9432.,57.0,45.6,148.5,113.5,573.0
2011,C,867,"11,580","2,139",3.67,6780.,50.4,39.7,124.2,0.0,584.5
2004,C,700,"12,225","2,146",3.76,8924.,50.6,46.4,122.5,93.8,600.7
2014,C,1238,"16,761","2,826",4.77,17632.,97.3,73.4,0.0,263.2,516.0
2014,C,400,"9,250","1,804",2.53,2048.,27.5,22.2,0.0,87.1,615.8
2007,C,320,"11,345","2,047",3.47,7132.,44.0,41.8,107.5,0.0,613.0
2016,C,1018,"14,220","2,906",4.25,10840.,77.4,57.9,197.4,0.0,526.6
2003,C,650,"13,550","2,338",4.26,11295.,51.3,51.0,0.0,114.7,602.6
1992,C,180,"10,570","2,010",3.35,3970.,34.4,39.1,0.0,105.5,610.4
2003,R,1200,"17,240","3,550",4.44,9695.,101.8,75.0,0.0,278.2,447.4
2005,C,1120,"14,900","2,329",4.53,13080.,59.2,46.6,0.0,137.1,586.4
1994,C,630,"10,060","1,829",3.28,4662.,36.1,33.3,72.1,0.0,640.0
2006,C,800,"12,350","2,505",3.65,7040.,50.6,46.3,137.4,137.2,570.0
2005,C,1120,"14,900","2,329",4.53,13080.,59.2,46.6,0.0,137.1,586.1
2001,C,660,"12,357","1,988",3.75,7828.,49.3,48.6,97.8,98.6,606.6
1979,R,352,"7,927","1,358",2.84,1552.,21.3,18.8,48.8,0.0,684.2
1989,R,805,"11,974","2,270",3.80,5191.,51.4,42.5,100.6,0.0,582.9
2018,C,850,"13,305","2,347",4.05,9577.,63.6,48.8,0.0,168.4,554.6
2010,C,930,"13,305","2,679",4.05,9173.,63.7,50.0,150.8,0.0,548.0
1994,R,465,"9,560","2,025",3.22,2393.,30.4,19.9,76.2,0.0,618.5
2013,C,690,"11,280","2,104",3.80,7235.,52.1,37.0,128.0,0.0,597.0
2009,C,668,"10,405","2,019",3.48,5412.,41.5,37.7,95.8,0.0,614.4
1997,R,820,"12,415","2,598",3.96,5089.,64.5,41.5,159.5,127.8,528.1
1995,C,450,"13,500","2,300",4.16,9700.,50.4,74.2,144.6,0.0,573.3
2000,C,860,"12,100","2,405",3.78,6439.,48.4,49.8,107.4,0.0,581.2
2009,C,656,"10,405","2,026",3.48,5544.,41.5,38.2,110.2,0.0,612.3
1997,C,850,"11,924","2,432",3.77,7466.,48.0,50.0,106.7,0.0,592.8
1996,R,610,"9,435","2,147",3.04,2384.,36.0,20.8,62.7,52.9,599.3
2007,C,820,"12,240","2,477",3.90,7704.,55.9,42.1,134.2,0.0,575.5
1993,R,650,"10,910","2,228",3.59,3473.,42.0,37.1,89.3,0.0,573.3
1996,R,580,"9,435","2,130",3.04,2189.,36.4,20.7,86.8,0.0,585.4
1997,C,840,"11,924","2,428",3.77,7370.,49.9,50.3,102.7,0.0,591.9
2009,R,1020,"13,640","2,760",3.94,6979.,71.5,54.0,0.0,199.6,507.5
2007,C,680,"11,342","2,019",3.63,7645.,43.8,43.4,115.7,88.3,607.5
1996,C,700,"16,505","3,201",4.68,13784.,99.4,64.6,0.0,258.7,502.7
2004,C,1080,"14,225","2,479",4.18,11655.,70.4,73.9,149.5,131.5,547.4
2001,C,610,"10,598","2,163",3.47,5811.,43.7,41.8,97.8,0.0,613.8
2011,C,160,"12,150","2,186",3.88,7615.,55.7,39.9,140.4,114.8,578.4
2006,C,870,"12,350","2,510",3.65,7152.,53.3,45.5,131.1,0.0,570.9
2011,R,775,"11,800","2,901",3.41,4132.,55.7,36.4,0.0,169.7,524.8
1997,R,830,"12,411","2,607",3.96,5302.,62.5,41.2,152.3,0.0,533.8
2011,C,800,"11,580","2,388",3.67,6796.,51.8,38.2,126.5,112.4,579.8
1997,R,820,"12,411","2,593",3.96,5008.,61.7,41.7,152.8,0.0,529.6
2008,C,790,"12,240","2,481",3.90,7784.,52.5,38.5,131.0,130.3,574.5
2007,C,637,"10,450","1,913",3.60,6010.,27.3,28.3,0.0,66.4,716.0
2014,C,1020,"13,734","2,082",4.35,12039.,51.9,46.8,0.0,142.0,608.5
2014,C,958,"13,600","2,102",4.35,12730.,50.9,48.0,0.0,144.1,613.8
2012,C,300,"9,600","1,864",3.20,5200.,21.0,28.7,55.7,0.0,735.9
2000,C,750,"14,110","2,112",4.36,10988.,44.9,59.4,0.0,112.4,613.1
2005,R,629,"9,680","2,163",2.94,1722.,42.6,23.6,0.0,125.5,534.6
1976,C,336,"7,650","1,501",2.76,1400.,19.1,17.4,31.9,0.0,724.7
2013,C,455,"12,610","2,047",4.11,11500.,50.1,42.8,0.0,125.0,629.4
2007,R,480,"12,185","3,016",4.50,4800.,68.1,48.0,0.0,175.0,507.4
2014,C,600,"16,500","2,655",5.19,24687.,84.2,93.7,0.0,208.4,582.3
2007,C,864,"12,526","2,106",4.11,8573.,42.9,45.1,0.0,112.1,616.7
2006,C,700,"15,240","2,098",4.89,12677.,57.4,50.3,0.0,129.4,622.7
1976,C,341,"7,650","1,524",2.76,1584.,14.5,20.1,40.2,0.0,735.9
2001,C,900,"13,829","2,834",3.89,9850.,67.7,55.6,155.1,135.3,541.2
1976,R,336,"7,650","1,504",2.76,1420.,18.4,15.8,31.5,0.0,730.7
1976,C,425,"6,625","1,374",2.77,1103.,10.5,14.3,31.0,0.0,781.6
2003,C,817,"12,020","2,233",3.92,7500.,44.4,42.4,104.4,0.0,609.8
2004,C,820,"12,555","2,484",3.76,8000.,51.1,47.6,126.8,0.0,581.7
1976,C,384,"7,650","1,571",2.76,1975.,18.5,15.7,35.3,0.0,747.0
1978,R,349,"7,270","1,429",2.65,1460.,11.4,20.0,39.9,0.0,763.7
2010,C,778,"11,977","2,249",3.94,8680.,51.3,33.1,0.0,0.0,651.3
1976,C,338,"7,650","1,513",2.76,1492.,18.4,16.8,31.3,0.0,731.2
1992,C,240,"6,220","1,748",2.50,1250.,13.0,11.2,0.0,33.3,780.4
1976,C,410,"7,650","1,564",2.76,1910.,18.8,16.2,34.1,0.0,743.5
1976,C,395,"7,650","1,514",2.76,1499.,18.4,17.0,33.4,0.0,728.8
1979,C,480,"8,403","1,443",2.91,4204.,17.2,20.4,82.2,0.0,772.6
2003,C,760,"12,450","2,538",3.22,6094.,60.1,38.4,105.2,83.9,560.6
2010,C,712,"11,980","1,987",3.38,6596.,46.2,34.1,105.3,105.8,602.0
1978,R,349,"7,270","1,424",2.65,1396.,11.3,19.5,39.0,0.0,770.8
1976,S,410,"7,650","1,483",2.76,1253.,18.5,16.9,37.0,0.0,714.0
1987,C,500,"10,420","1,538",3.44,4800.,19.8,31.6,0.0,67.8,728.9
1993,C,595,"9,340","1,968",3.28,3790.,25.8,24.5,59.8,0.0,683.5
1977,C,689,"13,950","2,231",3.55,12381.,31.3,43.8,0.0,0.0,726.5
1968,C,200,"7,010","1,081",2.11,1135.,8.3,14.3,0.0,27.1,828.5
1977,C,411,"8,400","1,479",2.81,2760.,14.2,27.0,56.0,0.0,784.5
1997,C,747,"11,924","2,424",3.77,7280.,48.4,32.7,121.4,0.0,599.0
1992,S,375,"7,509","1,522",2.49,821.,22.3,12.1,0.0,56.2,624.9
1994,C,550,"10,060","1,836",3.28,4765.,36.2,32.3,65.1,0.0,646.0
1978,R,480,"7,650","1,513",2.76,1480.,18.4,16.8,31.1,0.0,724.7
1996,R,914,"13,801","2,899",4.19,7212.,76.2,53.3,168.3,0.0,502.2
1997,C,850,"11,924","2,427",3.77,7350.,46.5,49.7,115.8,0.0,589.0
2010,C,608,"9,993","2,227",3.30,4004.,34.5,25.4,95.6,0.0,615.4
2003,C,600,"10,078","1,683",3.46,4670.,32.0,19.2,0.0,53.7,707.9
2006,C,781,"12,140","1,868",3.97,8300.,39.6,39.1,0.0,81.9,672.1
1990,C,510,"11,300","1,652",3.85,7558.,28.8,40.1,0.0,76.1,727.0
