YEAR,D,CREW,LOA,DRAFT,BMAX,DSPL,MAIN,GENOA,SYM,ASYM,GPH
2007,R,687,"11,150","2,197",3.27,4114.,39.0,33.4,0.0,129.9,569.1
1997,R,980,"13,106","3,152",3.82,5493.,65.9,53.2,161.1,161.1,514.7
2012,R,1150,"15,338","3,120",4.17,9913.,81.3,61.4,0.0,236.6,483.7
2017,C,843,"12,190","2,371",3.75,6223.,48.3,39.4,0.0,169.9,557.3
2007,C,935,"12,801","2,710",3.90,7333.,62.5,48.6,0.0,181.6,536.0
2009,C,796,"12,200","2,239",3.64,7433.,52.7,42.6,0.0,154.8,573.1
2017,C,838,"12,190","2,365",3.75,6095.,47.9,39.3,0.0,152.7,559.2
1989,C,922,"13,717","2,453",4.21,10636.,58.3,70.3,138.4,116.8,569.5
1983,C,603,"10,790","2,114",3.64,4610.,32.9,46.4,94.5,0.0,617.7
1997,R,785,"12,410","2,600",3.96,5153.,61.4,40.5,0.0,188.8,530.4
2007,C,1143,"20,120","2,729",5.39,31579.,117.8,112.4,0.0,338.1,503.6
1997,R,760,"12,411","2,591",3.96,4967.,65.0,43.2,162.0,0.0,525.7
1997,R,793,"12,410","2,605",3.96,5251.,61.4,40.4,0.0,188.0,527.2
2007,C,817,"13,410","2,257",3.83,12554.,48.7,71.7,146.8,0.0,606.4
2007,C,819,"13,410","2,267",3.83,12847.,48.7,71.7,146.8,0.0,607.6
1994,C,873,"13,055","2,145",3.90,7792.,55.0,62.7,0.0,185.8,557.8
2000,C,1334,"20,278","3,822",5.02,18655.,154.9,124.0,0.0,432.2,430.9
2006,R,950,"12,548","3,007",4.19,4256.,66.2,43.7,0.0,192.5,481.3
1992,R,508,"9,141","1,816",3.04,2626.,28.9,29.9,0.0,91.3,629.9
1998,R,696,"10,630","2,310",3.29,3055.,47.2,26.5,0.0,121.6,560.8
1978,R,687,"11,970","2,239",3.83,8312.,34.8,64.0,128.0,0.0,620.0
1997,,760,"12,411","2,564",3.94,4502.,65.2,40.3,155.2,111.7,544.1
1988,R,776,"13,060","1,757",3.99,11791.,41.8,74.2,136.3,110.6,627.6
1997,R,760,"12,411","2,591",3.96,4967.,65.0,43.2,162.0,0.0,525.7
1998,R,1262,"17,070","2,704",4.73,20968.,82.5,162.4,0.0,266.7,520.1
1998,R,1255,"17,190","2,699",4.73,20585.,79.1,93.1,0.0,266.7,535.6
1989,C,480,"10,670","1,478",3.57,5321.,36.6,33.8,63.7,0.0,680.6
1992,C,216,"7,900","1,466",2.89,2001.,14.7,15.5,0.0,0.0,798.1
2006,R,1310,"16,840","3,954",4.52,9621.,116.1,76.5,0.0,305.0,435.6
2001,C,771,"10,757","2,139",3.52,5189.,38.0,43.7,0.0,120.1,605.6
2018,R,725,"11,300","2,501",3.65,3420.,50.8,35.8,0.0,150.1,528.0
2008,C,1020,"13,160","2,820",3.72,8295.,66.1,47.7,0.0,205.5,531.8
1982,R,469,"9,448","1,763",3.39,2744.,24.1,34.7,63.0,0.0,661.0
1998,C,500,"12,244","2,168",3.67,7024.,44.5,46.3,0.0,165.6,585.5
2016,C,725,"14,984","2,287",4.70,15217.,63.4,60.9,0.0,172.3,578.9
2001,C,780,"11,933","2,386",3.69,5670.,52.6,36.2,0.0,150.1,565.9
2011,C,852,"11,519","1,461",4.13,10663.,43.9,49.6,0.0,92.2,645.0
1998,R,645,"10,630","2,303",3.29,2945.,47.4,27.8,97.2,87.1,562.5
2002,C,848,"12,985","2,144",4.08,10723.,46.5,68.0,129.5,126.6,607.2
1999,C,700,"12,528","2,481",3.18,4279.,49.5,50.9,0.0,165.4,524.7
2011,S,450,"7,900","1,902",2.55,1142.,27.6,14.8,0.0,76.5,606.1
1986,C,726,"13,360","2,155",3.91,11951.,46.5,66.2,0.0,155.3,620.6
1998,C,735,"12,190","2,174",3.67,7136.,46.0,49.8,0.0,165.0,579.7
2006,C,470,"10,070","1,690",3.18,3462.,31.1,21.3,0.0,72.8,642.0
2011,C,650,"11,085","2,209",3.27,4365.,39.2,33.0,0.0,131.8,575.0
2016,R,586,"9,150","2,253",2.98,1851.,37.7,24.0,0.0,119.4,556.6
1994,C,390,"10,570","2,005",3.35,3874.,34.2,39.4,0.0,89.0,612.8
2005,R,629,"9,680","2,163",2.94,1722.,42.6,23.6,0.0,125.5,532.4
1996,R,525,"9,418","2,090",3.04,1900.,36.4,20.1,87.2,0.0,574.0
2015,R,1350,"15,850","3,601",4.42,6976.,103.7,66.8,0.0,268.2,430.9
2011,C,650,"11,085","2,181",3.27,3835.,39.0,33.4,0.0,129.9,565.1
1984,C,583,"10,520","1,526",3.50,5802.,25.8,35.1,0.0,67.2,699.5
2015,S,475,"8,670","1,696",2.80,1360.,27.0,19.3,0.0,88.9,589.3
2011,C,650,"11,085","2,204",3.27,4256.,38.9,33.2,0.0,129.8,573.6
1994,C,819,"12,190","2,169",3.67,7002.,46.0,49.9,0.0,165.0,577.8
1978,R,658,"10,117","1,792",2.85,3092.,31.6,21.5,58.9,0.0,652.3
2005,R,725,"11,507","2,044",3.67,6126.,45.6,37.9,114.6,0.0,596.0
1999,C,828,"12,190","1,582",4.02,8819.,44.0,54.6,127.5,115.0,609.9
2000,C,488,"10,570","2,018",3.35,4124.,34.2,25.2,0.0,89.0,629.5
2007,C,450,"10,046","1,761",2.81,3190.,28.4,27.2,0.0,98.1,623.1
2017,R,1263,"15,849","3,598",4.47,6959.,102.4,68.2,0.0,272.0,432.7
2008,,1194,"15,835","3,658",4.46,7220.,100.0,65.5,0.0,270.4,440.8
1997,C,756,"11,924","2,438",3.77,7606.,48.4,48.8,0.0,139.0,589.1
1986,C,793,"13,207","1,887",4.20,10574.,50.5,66.0,0.0,140.4,597.0
2019,C,588,"12,190","2,361",3.75,6009.,47.8,41.3,0.0,154.9,560.1
2008,R,1825,"21,010","4,708",4.76,15109.,169.9,108.9,0.0,436.4,390.6
2000,R,760,"12,415","2,592",3.96,4971.,61.4,40.5,0.0,173.8,529.0
1998,C,1266,"17,180","2,713",4.73,21255.,78.8,108.4,0.0,249.5,535.3
2017,R,905,"13,305","2,689",4.05,9629.,63.4,49.0,0.0,190.2,549.3
1983,C,877,"14,363","2,485",4.41,14642.,50.8,84.8,155.4,145.9,591.8
2010,C,650,"11,085","2,216",3.27,4398.,39.4,34.0,0.0,129.9,574.7
1985,S,397,"8,394","1,404",2.90,1500.,25.8,19.8,45.3,42.5,662.4
2007,C,908,"13,680","2,408",4.20,11497.,60.1,61.5,148.0,0.0,572.2
1986,C,520,"9,906","1,816",3.38,4409.,23.1,33.0,68.3,0.0,687.7
1992,C,693,"11,475","2,038",3.69,6480.,35.8,46.6,103.7,0.0,619.1
1993,R,644,"10,826","2,079",3.28,4175.,34.4,27.1,82.9,69.6,625.7
1979,C,465,"9,240","1,669",3.12,3259.,27.0,26.9,52.3,0.0,697.7
1993,C,507,"9,344","1,974",3.28,3849.,25.0,27.2,56.5,44.8,688.3
1991,C,522,"9,450","1,682",2.49,2350.,26.3,20.6,61.1,0.0,640.4
2001,C,646,"10,640","2,228",3.46,5701.,38.6,36.5,81.5,0.0,630.3
1981,C,424,"8,610","1,675",2.99,2994.,15.5,26.3,55.1,0.0,741.2
1969,C,470,"8,840","1,599",2.72,2500.,26.4,20.8,46.0,0.0,678.2
1997,C,756,"11,910","1,930",3.77,7744.,46.6,33.4,101.4,84.0,621.8
1999,R,573,"8,950","2,268",2.94,2432.,28.6,20.7,70.5,49.5,641.6
1990,C,564,"9,147","1,827",3.22,3325.,26.8,24.7,54.4,0.0,676.1
2009,C,530,"9,617","2,060",3.35,3732.,29.0,22.4,81.3,0.0,641.0
1997,C,734,"11,924","2,407",3.77,6927.,48.0,46.5,129.4,0.0,584.9
1979,C,524,"9,904","1,764",2.44,3396.,24.4,18.2,67.2,49.5,680.6
1998,S,380,"7,490","1,749",2.44,1070.,22.5,15.4,0.0,53.4,644.6
2004,C,691,"11,345","2,009",3.47,6405.,43.1,31.9,103.3,83.7,618.8
1998,C,745,"11,710","1,993",3.94,7957.,39.6,44.9,109.2,0.0,633.9
2003,C,580,"9,600","1,985",3.45,3536.,30.9,22.8,74.0,61.3,641.5
2011,C,785,"11,820","2,442",3.69,8210.,49.2,37.2,113.3,0.0,602.5
2004,C,693,"11,345","2,308",3.47,6407.,43.1,32.4,100.4,82.6,612.0
1987,C,585,"11,050","2,010",3.59,4994.,44.7,38.7,75.8,0.0,636.1
1998,C,739,"11,750","2,437",3.94,7790.,45.9,44.0,110.7,85.0,610.4
2001,C,643,"10,640","2,222",3.46,5583.,40.1,39.7,89.3,0.0,619.8
1997,C,830,"12,640","2,061",3.95,8924.,32.8,49.4,111.0,0.0,640.1
2003,C,593,"9,600","2,000",3.45,3790.,33.0,23.9,80.2,0.0,639.4
1998,C,614,"9,973","1,945",3.45,4940.,33.0,27.9,85.2,0.0,652.6
1993,R,642,"10,910","2,237",3.59,3612.,40.4,28.1,0.0,124.6,574.9
2003,C,585,"9,600","1,990",3.45,3620.,30.9,26.3,76.2,62.0,637.9
1989,R,547,"9,147","1,808",3.23,2884.,26.4,27.8,71.7,0.0,651.5
1978,C,502,"9,514","1,924",3.26,4665.,21.0,34.3,78.6,0.0,699.4
2001,C,648,"10,757","2,149",3.52,5329.,35.7,28.5,0.0,93.8,630.7
2008,C,790,"12,240","2,475",3.90,7675.,54.0,39.3,135.6,0.0,578.5
2006,C,637,"9,980","1,972",3.47,5354.,32.9,26.5,82.5,70.3,654.3
1998,C,734,"11,710","1,973",3.94,7490.,37.7,44.4,100.7,78.1,640.8
2003,C,589,"9,600","1,997",3.45,3730.,30.2,24.9,78.1,67.4,639.0
2001,C,643,"10,640","2,222",3.46,5584.,38.1,36.9,85.6,0.0,628.2
2005,S,398,"7,500","1,699",2.79,1380.,20.9,16.2,52.9,0.0,672.6
2009,C,539,"9,598","1,916",3.35,3854.,27.9,25.1,0.0,98.7,649.4
2009,C,644,"10,660","2,196",3.64,5448.,36.9,32.4,100.0,0.0,624.7
2002,C,768,"12,060","2,066",3.89,7847.,46.9,41.8,93.3,76.6,611.7
2008,C,795,"12,240","2,475",3.90,7954.,52.3,38.7,123.9,0.0,586.8
2009,C,638,"10,660","2,188",3.64,5292.,40.7,31.6,95.2,84.9,618.8
2002,C,638,"10,300","1,954",3.48,5702.,33.6,30.7,82.0,0.0,653.9
2006,C,529,"9,480","1,980",3.28,4300.,26.1,24.1,65.0,0.0,687.8
2010,C,594,"9,990","1,943",3.21,4184.,28.2,25.9,0.0,83.7,651.5
2016,C,858,"12,480","2,230",3.95,9300.,55.1,42.2,0.0,109.8,581.7
2009,R,544,"9,500","1,963",3.27,3258.,27.9,22.3,74.2,0.0,635.1
2004,C,718,"10,840","2,029",3.28,6296.,39.8,31.2,83.2,0.0,630.0
1994,R,813,"12,244","2,155",3.67,6707.,45.5,34.3,0.0,131.8,593.7
1997,C,513,"8,750","1,591",3.02,3281.,28.1,18.3,53.6,48.9,689.7
2007,C,145,"9,790","1,899",3.49,3526.,29.7,26.1,81.7,78.6,641.6
1990,C,576,"9,147","1,855",3.22,3728.,25.4,26.7,58.8,0.0,680.1
2012,C,701,"10,970","2,188",3.62,6228.,40.5,30.5,104.7,0.0,617.2
2002,C,751,"11,913","2,065",3.84,8000.,41.5,40.3,95.9,0.0,634.6
2008,C,697,"11,345","2,021",3.47,6645.,44.6,33.4,109.1,0.0,612.7
2006,C,858,"12,840","2,585",3.80,7090.,60.2,44.1,0.0,190.8,542.7
2007,C,570,"9,790","1,905",3.49,3616.,30.2,25.7,83.6,69.5,633.7
2011,C,691,"10,970","2,175",3.62,5950.,41.3,30.5,103.9,0.0,614.0
2016,C,1037,"14,350","2,560",4.37,12600.,70.1,50.2,0.0,175.1,537.4
2006,C,840,"12,259","2,396",3.88,8300.,50.9,41.6,129.4,127.9,586.9
1978,C,507,"9,868","1,783",3.21,4180.,26.6,28.2,59.3,0.0,695.0
2009,C,599,"9,869","1,899",3.42,5542.,32.5,20.0,0.0,83.5,676.1
1982,R,265,"7,017","1,442",2.50,1026.,15.8,12.5,24.7,0.0,748.3
2002,C,617,"10,300","1,910",3.48,5050.,34.0,26.9,70.6,0.0,660.5
1982,R,425,"9,144","1,763",3.22,2457.,28.0,19.2,46.3,0.0,668.7
2007,C,565,"9,790","1,898",3.49,3510.,32.2,27.3,83.6,67.1,626.3
2002,C,618,"10,300","1,914",3.48,5145.,31.6,30.9,82.5,67.9,657.5
2003,C,591,"9,600","2,000",3.45,3767.,31.0,23.6,80.4,63.2,642.4
2013,C,611,"10,590","2,198",3.59,4426.,38.2,31.0,0.0,115.2,599.2
1990,C,582,"9,490","1,931",3.22,3770.,25.8,26.1,66.6,50.3,669.4
1988,C,750,"10,400","2,433",3.82,2895.,41.2,23.2,0.0,122.9,577.3
2008,C,573,"9,790","1,909",3.49,3690.,30.8,28.4,87.3,65.6,630.6
1999,R,752,"11,795","2,611",3.71,5560.,52.0,38.4,127.7,103.5,569.0
2003,R,853,"11,990","2,389",3.76,6315.,47.1,37.6,0.0,135.2,573.4
2010,R,597,"10,040","1,970",3.39,4004.,32.3,25.7,87.0,83.7,624.0
2016,C,577,"9,790","1,920",3.49,3777.,32.0,25.8,82.1,72.4,625.7
1973,C,431,"8,700","1,730",2.87,3100.,17.3,30.4,59.9,0.0,714.1
1977,C,445,"8,700","1,695",2.86,3490.,17.7,28.9,63.0,0.0,732.7
1976,C,509,"9,777","1,937",3.13,4822.,25.3,38.0,80.8,0.0,689.2
1973,C,425,"8,248","1,684",2.98,3084.,15.7,22.6,53.8,0.0,753.5
2013,R,610,"10,820","2,168",3.68,4881.,37.9,30.8,109.4,114.6,595.4
1983,C,432,"8,982","1,748",3.04,2415.,28.2,24.6,48.1,0.0,668.0
1987,C,600,"10,500","2,640",4.07,3360.,48.6,27.6,104.3,118.1,561.6
2013,C,589,"9,140","2,474",3.71,2612.,31.7,27.5,0.0,78.0,604.3
2014,S,372,"6,500","1,582",3.00,1270.,22.2,15.0,0.0,62.2,702.6
2014,C,612,"10,300","1,911",3.54,4767.,34.9,29.5,90.7,72.6,630.4
2008,C,920,"13,596","2,292",4.29,10450.,59.3,59.8,159.5,117.2,570.9
2013,R,657,"10,840","2,169",3.68,4891.,38.5,28.4,118.3,0.0,596.8
1999,R,800,"11,795","2,621",3.71,5762.,51.9,39.0,134.3,133.8,568.1
2011,C,800,"11,990","2,084",3.99,7900.,43.2,31.9,0.0,99.7,632.7
2009,C,748,"11,893","2,018",3.97,8355.,37.2,45.9,0.0,121.8,639.4
2009,C,530,"9,598","1,901",3.35,3645.,28.9,25.1,0.0,94.9,642.0
1978,C,507,"9,868","1,783",3.21,4180.,27.0,26.7,78.4,0.0,687.6
2008,C,798,"12,240","2,487",3.90,7962.,54.0,37.3,135.6,0.0,581.9
1980,C,515,"10,380","1,818",3.22,4480.,33.3,21.7,80.7,0.0,663.0
1983,R,524,"10,034","1,924",3.36,3700.,31.6,21.9,71.3,0.0,658.6
1975,R,321,"7,400","1,500",2.75,1480.,8.9,17.6,34.6,0.0,776.0
2003,C,851,"12,913","2,195",3.95,8819.,50.1,41.5,117.7,108.9,595.5
1992,R,661,"10,570","2,016",3.35,4136.,33.5,24.8,0.0,92.6,627.2
2003,C,928,"13,330","2,756",4.26,7015.,67.0,47.1,0.0,180.7,521.0
1999,R,480,"8,500","2,111",2.90,2515.,25.9,26.2,57.9,0.0,651.8
1992,R,519,"9,140","1,837",3.04,2906.,29.2,19.0,0.0,85.5,649.6
2016,C,571,"9,790","1,912",3.49,3640.,31.3,23.2,87.2,0.0,628.3
1982,C,607,"10,660","1,913",3.81,5859.,30.0,41.1,94.8,0.0,657.3
1973,S,343,"7,250","1,481",2.50,1152.,16.8,13.0,46.6,0.0,717.1
2003,C,853,"11,990","2,383",3.76,6135.,45.8,36.7,0.0,139.0,572.0
2003,C,857,"11,990","2,391",3.76,6345.,46.2,37.6,0.0,134.7,575.0
2002,C,490,"10,000","1,979",3.70,3869.,32.0,20.6,79.5,0.0,642.8
2003,R,863,"11,990","2,397",3.76,6497.,46.8,44.1,0.0,135.4,569.4
2002,C,600,"12,060","2,064",3.89,7092.,46.9,43.7,98.9,0.0,608.3
1994,C,601,"9,978","1,814",3.28,4396.,34.9,25.1,79.8,0.0,645.7
1979,C,520,"9,904","1,749",2.44,3244.,24.9,18.3,64.7,0.0,676.0
2006,C,800,"12,190","2,239",3.64,7435.,50.6,40.0,0.0,154.1,580.5
1994,C,601,"9,978","1,814",3.28,4396.,35.6,31.3,68.5,0.0,642.3
2003,C,975,"13,550","2,131",4.14,10560.,55.3,63.7,133.2,135.1,574.5
1998,C,614,"9,973","1,947",3.45,4972.,32.9,28.2,78.5,0.0,654.1
2009,R,548,"9,500","1,965",3.27,3325.,28.8,22.0,82.5,0.0,633.0
2016,R,659,"10,800","2,194",3.55,4918.,38.9,30.3,100.5,0.0,598.3
1999,C,760,"11,625","2,292",3.88,6108.,47.0,41.2,120.6,0.0,588.1
1971,C,428,"9,210","1,745",2.92,3443.,24.3,18.9,63.4,0.0,703.8
1996,S,421,"7,620","1,672",2.60,1300.,19.4,16.1,47.4,49.6,662.5
2004,C,770,"12,225","2,368",3.76,7335.,53.6,53.6,116.5,84.0,579.1
1996,R,561,"9,435","2,138",3.04,2284.,32.2,18.3,86.0,86.0,595.4
2013,C,629,"9,990","1,793",3.30,5240.,32.1,30.2,78.3,0.0,657.4
1979,C,588,"10,832","1,352",3.70,5613.,30.8,32.0,0.0,78.8,712.8
1991,R,663,"10,632","1,998",3.49,4093.,40.0,27.6,66.4,0.0,622.3
2012,C,630,"10,970","2,207",3.62,6422.,41.2,30.0,0.0,123.4,619.1
1994,C,868,"13,480","2,310",4.16,9967.,52.8,67.9,144.2,0.0,573.9
2002,C,764,"10,990","1,982",3.95,6132.,40.0,58.3,101.5,0.0,651.1
1998,S,371,"7,470","1,759",2.44,1150.,22.3,15.2,0.0,73.6,643.4
2002,C,638,"10,300","1,954",3.48,5700.,31.3,33.1,82.5,0.0,656.6
2004,C,757,"11,360","2,366",3.69,6703.,42.2,37.9,91.5,0.0,602.9
2012,C,695,"10,970","2,179",3.62,6037.,41.0,30.0,103.6,0.0,615.7
1992,C,511,"9,140","1,922",3.04,2731.,28.9,25.3,0.0,87.4,632.9
2010,R,613,"10,040","1,974",3.39,4081.,32.8,23.2,85.1,72.1,623.6
2002,C,890,"13,350","2,236",4.23,9624.,59.8,50.5,0.0,122.4,575.8
2013,C,528,"9,000","1,908",2.94,3735.,30.1,22.0,68.1,55.8,668.0
2015,C,449,"7,500","1,545",3.01,2017.,35.1,10.3,0.0,0.0,670.9
2002,C,638,"10,300","1,954",3.48,5700.,31.1,30.3,80.4,0.0,659.6
2001,C,669,"10,222","1,891",3.22,5160.,34.3,32.3,74.9,0.0,636.9
2013,R,539,"8,960","1,964",2.85,2417.,25.0,18.8,0.0,74.4,635.9
1995,R,732,"12,496","2,586",3.88,5656.,53.1,33.2,0.0,136.8,552.8
2002,C,638,"10,300","1,954",3.48,5700.,31.3,32.2,80.9,0.0,658.6
2001,R,646,"10,757","2,146",3.52,5264.,37.4,30.0,92.1,94.1,623.5
2003,C,758,"11,360","2,368",3.69,6737.,38.0,40.9,80.5,0.0,620.3
2003,C,581,"9,600","1,985",3.45,3550.,30.2,23.1,77.5,67.4,638.4
1970,C,401,"9,210","1,689",2.92,2858.,14.3,26.9,59.5,0.0,727.3
2004,R,700,"10,840","2,183",3.28,5533.,38.7,33.4,80.4,0.0,619.7
2003,C,587,"9,600","1,995",3.45,3686.,29.9,25.2,77.9,63.2,641.7
1981,C,670,"12,422","2,326",3.88,6592.,38.8,52.0,0.0,131.0,593.0
1993,R,650,"10,910","2,244",3.59,3737.,39.3,26.4,0.0,95.3,590.5
2001,S,371,"7,490","1,760",2.44,1185.,24.4,15.0,0.0,53.4,650.3
2008,C,970,"14,100","2,608",4.25,11943.,60.3,50.3,0.0,196.5,565.8
1993,C,644,"10,826","2,079",3.28,4194.,39.3,27.6,72.8,0.0,623.3
1982,C,600,"10,940","1,842",3.76,4553.,43.2,29.4,101.1,0.0,602.9
2014,C,549,"9,360","1,608",3.34,4917.,34.0,22.6,0.0,77.4,678.9
1980,C,500,"10,058","1,801",3.68,3367.,32.1,29.5,65.7,0.0,647.2
2006,C,632,"9,990","2,067",3.47,5185.,33.7,27.6,85.5,64.3,645.5
2003,C,754,"11,360","2,360",3.69,6558.,37.3,40.5,80.5,0.0,620.7
1985,R,468,"10,246","2,433",3.53,3313.,35.3,24.0,82.1,0.0,630.5
1984,C,615,"10,882","1,872",3.24,3964.,40.8,34.2,72.0,0.0,617.9
1994,C,524,"9,120","1,717",3.00,3500.,27.3,17.4,52.3,0.0,693.1
2001,C,646,"10,640","2,228",3.46,5696.,39.8,39.2,90.4,0.0,623.3
2001,C,600,"9,500","1,485",3.50,3644.,32.5,26.2,0.0,77.9,661.0
2006,C,631,"9,980","2,162",3.47,5192.,33.8,27.1,83.2,0.0,647.0
2010,R,606,"10,040","1,981",3.39,4195.,32.7,26.0,86.2,85.9,625.0
1993,C,797,"12,688","2,266",4.13,8725.,53.2,43.9,0.0,104.0,602.2
1979,C,464,"9,245","1,669",3.12,3259.,18.0,31.3,60.6,0.0,709.6
1991,C,340,"9,450","1,522",2.49,2500.,22.8,17.5,61.5,43.7,668.8
1972,C,449,"8,960","1,717",2.91,3376.,25.1,21.2,56.1,0.0,695.0
2006,C,599,"10,070","2,138",3.33,3995.,37.0,24.2,0.0,122.7,608.8
1992,C,558,"9,496","1,903",2.92,2616.,28.1,18.9,51.9,0.0,656.8
2011,C,705,"11,085","2,216",3.27,4403.,38.0,32.8,0.0,124.9,577.0
1981,R,557,"9,496","1,798",2.92,2485.,27.9,17.9,62.7,0.0,649.8
1986,C,471,"9,200","1,738",3.20,3380.,18.3,28.1,63.7,0.0,712.3
2001,C,642,"10,757","2,138",3.52,5133.,37.3,27.9,0.0,108.4,624.6
2001,C,754,"12,010","2,512",3.58,5435.,48.8,38.4,104.0,0.0,578.2
1993,C,653,"10,720","2,227",3.47,5163.,37.9,33.3,82.2,0.0,625.8
2013,R,667,"10,800","2,200",3.55,5048.,37.5,33.3,100.9,0.0,604.7
1972,C,772,"13,442","2,222",3.78,12178.,38.9,65.9,144.2,142.0,623.6
1981,C,497,"10,002","1,877",3.35,3861.,33.9,19.7,73.0,0.0,657.4
2008,C,1183,"15,240","2,472",4.68,10290.,77.7,63.3,0.0,232.7,508.4
1994,C,596,"10,045","2,164",3.31,4224.,34.0,26.6,68.6,0.0,640.1
2005,C,707,"11,313","1,960",3.66,7082.,44.1,27.3,91.8,78.1,630.6
2002,R,642,"9,600","2,045",3.70,3360.,36.3,32.0,0.0,96.1,607.8
2011,C,749,"11,580","2,404",3.67,7217.,46.2,37.5,0.0,129.5,588.8
1982,C,443,"9,092","1,662",3.17,3138.,17.2,28.7,65.4,0.0,708.8
2013,R,655,"10,840","2,169",3.68,4882.,39.2,31.9,0.0,118.1,594.6
1994,C,601,"10,040","1,814",3.28,4396.,34.5,30.0,66.9,0.0,641.1
1991,R,655,"10,632","1,995",3.49,4037.,39.3,25.1,79.3,67.5,613.9
1974,C,1000,"16,157","2,539",4.52,17984.,75.3,110.6,0.0,238.9,553.8
2019,C,581,"9,950","2,127",3.43,4029.,33.3,26.1,86.3,0.0,623.7
2016,C,846,"12,450","2,212",3.95,8850.,54.3,44.6,0.0,142.5,573.2
2015,C,640,"15,381","2,800",4.53,15274.,84.5,69.4,0.0,242.6,527.5
1996,C,618,"9,500","2,038",3.40,2950.,28.4,30.6,72.8,0.0,612.7
2006,R,835,"11,970","2,402",2.97,4217.,48.5,34.4,108.8,0.0,548.1
1994,C,606,"10,060","1,824",3.28,4571.,35.7,29.4,68.9,0.0,646.0
1997,C,1105,"14,200","2,995",4.02,8907.,57.8,49.7,0.0,167.5,537.8
1977,S,382,"7,640","1,581",2.38,1325.,18.9,16.0,41.1,0.0,690.5
1998,C,844,"12,170","2,517",4.04,6674.,53.1,44.9,0.0,118.9,568.8
1992,R,516,"9,120","1,623",3.04,2704.,29.4,23.4,0.0,101.4,632.7
2010,R,599,"10,040","1,972",3.39,4044.,32.6,25.6,85.2,75.4,623.5
1996,C,623,"9,798","1,916",3.33,4999.,30.7,31.6,66.3,0.0,670.1
2005,R,556,"9,680","2,165",2.94,1742.,37.9,20.5,0.0,116.7,547.6
1983,R,601,"10,399","1,817",3.06,3100.,31.1,33.0,73.5,0.0,618.6
1985,R,545,"10,007","1,799",2.99,3118.,32.5,25.4,86.2,0.0,623.1
1993,C,896,"13,033","2,175",3.90,8592.,51.9,61.0,0.0,157.9,567.9
1990,C,572,"11,310","1,681",3.57,7500.,35.3,39.5,82.7,76.0,698.6
2007,R,1275,"15,850","3,460",4.41,7318.,99.2,63.9,0.0,273.6,443.2
1997,C,738,"11,910","1,897",3.77,7006.,45.9,34.9,101.8,0.0,616.2
2013,C,1110,"15,285","3,096",4.45,10362.,83.0,61.9,0.0,247.2,494.1
2000,S,390,"7,480","1,674",2.95,1502.,24.4,17.1,0.0,76.3,652.2
2005,R,614,"10,617","2,148",3.59,4362.,35.7,28.1,84.7,0.0,607.7
2005,C,744,"11,280","1,927",3.75,7299.,42.0,40.7,92.1,0.0,630.9
2009,C,539,"9,598","1,915",3.35,3850.,29.1,24.3,0.0,90.4,647.4
2007,C,631,"10,360","1,913",3.38,5462.,38.4,26.9,92.8,83.4,635.3
1979,C,523,"9,904","1,759",2.44,3350.,25.1,17.9,70.1,52.7,678.8
2010,C,684,"10,600","2,139",3.54,5242.,37.6,30.3,98.1,86.8,611.9
2010,C,567,"9,790","1,902",3.49,3565.,30.6,26.3,85.8,0.0,629.7
2012,C,698,"10,970","2,184",3.62,6131.,40.9,31.7,0.0,110.1,615.1
2005,C,744,"11,280","1,928",3.75,7273.,41.4,41.2,90.6,92.2,629.6
1992,R,669,"11,360","2,107",3.66,5573.,36.3,34.6,100.2,0.0,617.4
1979,R,460,"8,100","1,510",3.02,1375.,18.9,15.0,45.9,0.0,681.9
2013,C,597,"9,140","2,484",3.71,2768.,29.7,26.4,86.1,0.0,611.6
1997,C,747,"11,924","2,425",3.77,7308.,48.1,48.8,128.6,0.0,587.7
1982,C,553,"10,448","1,811",3.57,5364.,34.7,31.8,73.4,0.0,656.2
2000,C,749,"11,990","2,374",3.79,6700.,46.4,37.5,134.1,0.0,593.4
1973,C,445,"8,942","1,822",3.02,2802.,15.3,25.1,59.5,0.0,717.4
1975,C,413,"8,573","1,734",2.73,2890.,19.0,25.0,48.0,0.0,722.8
1973,C,532,"9,980","1,801",3.41,4650.,23.6,38.5,81.7,0.0,686.7
1982,C,440,"9,092","1,659",3.17,3050.,26.1,26.2,51.8,0.0,691.2
2001,C,643,"10,640","2,222",3.46,5584.,38.1,35.5,81.7,0.0,628.9
1983,C,462,"9,280","1,762",3.30,3300.,18.8,24.6,58.5,0.0,699.3
1992,C,685,"11,121","1,947",3.49,6450.,37.5,37.0,75.0,63.3,644.4
2016,C,655,"10,254","1,973",3.61,5950.,40.1,29.9,94.3,0.0,628.9
1981,C,450,"8,950","2,199",3.28,2650.,30.8,18.8,48.5,47.5,666.1
1990,C,1027,"16,484","2,379",4.77,17278.,53.2,81.1,157.8,0.0,604.3
2010,C,709,"11,085","2,221",3.27,4505.,38.7,32.1,0.0,128.7,577.0
2012,C,693,"10,970","2,177",3.62,5992.,39.9,30.3,0.0,109.2,617.2
2013,C,680,"10,820","2,164",3.66,5026.,38.4,31.8,111.1,120.7,593.8
1994,C,523,"9,120","1,716",3.00,3479.,28.1,19.6,57.9,0.0,683.8
2013,C,588,"9,140","2,474",3.71,2612.,26.6,26.3,78.2,62.6,620.0
